Date,Open,High,Low,Close,Adj Close,Volume
1/1/1950,16.66,16.66,16.66,16.66,16.66,1260000
2/1/1950,17.049999,17.049999,17.049999,17.049999,17.049999,1810000
3/1/1950,17.24,17.24,17.24,17.24,17.24,1410000
4/1/1950,17.34,17.530001,17.34,17.530001,17.530001,2250000
5/1/1950,18.07,18.219999,18.07,18.219999,18.219999,3550000
6/1/1950,18.77,18.77,18.77,18.77,18.77,1580000
7/1/1950,17.639999,17.639999,17.639999,17.639999,17.639999,1550000
8/1/1950,18.02,18.02,18.02,18.02,18.02,1970000
9/1/1950,18.549999,18.549999,18.549999,18.549999,18.549999,1290000
10/1/1950,19.690001,19.690001,19.690001,19.690001,19.690001,2200000
11/1/1950,19.559999,19.559999,19.559999,19.559999,19.559999,1780000
12/1/1950,19.66,19.66,19.66,19.66,19.66,1870000
1/1/1951,20.41,20.77,20.41,20.77,20.77,4560000
2/1/1951,21.77,21.77,21.77,21.77,21.77,2380000
3/1/1951,21.85,21.85,21.85,21.85,21.85,1610000
4/1/1951,21.4,21.4,21.32,21.32,21.32,1760000
5/1/1951,22.530001,22.530001,22.530001,22.530001,22.530001,1760000
6/1/1951,21.48,21.48,21.48,21.48,21.48,9810000
7/1/1951,21.1,21.1,21.1,21.1,21.1,1350000
8/1/1951,22.51,22.51,22.51,22.51,22.51,1680000
9/1/1951,23.280001,23.280001,23.280001,23.280001,23.280001,1520000
10/1/1951,23.469999,23.469999,23.469999,23.469999,23.469999,1330000
11/1/1951,23.1,23.1,23.1,23.1,23.1,1430000
12/1/1951,22.940001,23.01,22.940001,23.01,23.01,6260000
1/1/1952,23.799999,23.799999,23.799999,23.799999,23.799999,1070000
2/1/1952,24.299999,24.299999,24.299999,24.299999,24.299999,1350000
3/1/1952,23.280001,23.290001,23.280001,23.290001,23.290001,1480000
4/1/1952,24.18,24.18,24.18,24.18,24.18,1720000
5/1/1952,23.17,23.17,23.17,23.17,23.17,1400000
6/1/1952,23.799999,23.799999,23.799999,23.799999,23.799999,1190000
7/1/1952,25.120001,25.120001,25.120001,25.120001,25.120001,1450000
8/1/1952,25.450001,25.450001,25.450001,25.450001,25.450001,1050000
9/1/1952,25.15,25.15,25.15,25.15,25.15,970000
10/1/1952,24.48,24.48,24.48,24.48,24.48,1060000
11/1/1952,24.6,24.6,24.6,24.6,24.6,1670000
12/1/1952,25.68,25.68,25.68,25.68,25.68,2100000
1/1/1953,26.540001,26.540001,26.540001,26.540001,26.540001,1450000
2/1/1953,26.51,26.51,26.51,26.51,26.51,1890000
3/1/1953,25.93,25.93,25.93,25.93,25.93,1760000
4/1/1953,25.25,25.25,25.25,25.25,25.25,2240000
5/1/1953,24.73,24.73,24.73,24.73,24.73,1200000
6/1/1953,24.15,24.15,24.15,24.15,24.15,1490000
