Date,spx,civ_unemployment_rate,real_retail_and_services,industrial_production_consumer_goods,new_housing,yield_spread,national_fin_conditions,Retail Delta,Production Delta,New Housing Delta,SPX Returns 1 Month Lag,SPX Returns 2 Month Lag,SPX Returns 3 Month Lag
1/1/1992,408.779999,7.3," 118,643.00 ",64.7924," 1,077.00 ",3.12,-0.27,,,,0.96%,-1.25%,1.51%
2/1/1992,412.700012,7.4," 118,514.00 ",67.5516," 1,146.00 ",3.39,-0.35,-0.11%,4.26%,6.41%,-2.18%,0.55%,0.64%
3/1/1992,403.690002,7.4," 117,719.00 ",68.9517," 1,082.00 ",3.4,-0.38,-0.67%,2.07%,-5.58%,2.79%,2.89%,1.10%
4/1/1992,414.950012,7.4," 118,192.00 ",70.2733," 1,054.00 ",3.64,-0.39,0.40%,1.92%,-2.59%,0.10%,-1.64%,2.23%
5/1/1992,415.350006,7.6," 118,552.00 ",72.4264," 1,056.00 ",3.67,-0.42,0.30%,3.06%,0.19%,-1.74%,2.13%,-0.32%
6/1/1992,408.140015,7.8," 118,557.00 ",71.4256," 1,057.00 ",3.51,-0.49,0.00%,-1.38%,0.09%,3.94%,1.44%,2.37%
7/1/1992,424.209991,7.7," 119,078.00 ",73.2572," 1,089.00 ",3.56,-0.54,0.44%,2.56%,3.03%,-2.40%,-1.51%,-1.30%
8/1/1992,414.029999,7.6," 119,174.00 ",72.6905," 1,075.00 ",3.39,-0.5,0.08%,-0.77%,-1.29%,0.91%,1.12%,4.18%
9/1/1992,417.799988,7.6," 120,062.00 ",72.4179," 1,114.00 ",3.45,-0.44,0.75%,-0.38%,3.63%,0.21%,3.24%,4.29%
10/1/1992,418.679993,7.3," 120,452.00 ",74.0251," 1,132.00 ",3.66,-0.46,0.32%,2.22%,1.62%,3.03%,4.07%,4.80%
11/1/1992,431.350006,7.4," 120,355.00 ",74.6899," 1,118.00 ",3.66,-0.56,-0.08%,0.90%,-1.24%,1.01%,1.72%,2.79%
12/1/1992,435.709991,7.4," 121,571.00 ",75.4839," 1,176.00 ",3.48,-0.65,1.01%,1.06%,5.19%,0.70%,1.76%,3.66%
1/1/1993,438.779999,7.3," 122,604.00 ",76.5701," 1,177.00 ",3.53,-0.77,0.85%,1.44%,0.09%,1.05%,2.94%,0.32%
2/1/1993,443.380005,7.1," 121,433.00 ",76.2833," 1,148.00 ",3.27,-0.9,-0.96%,-0.37%,-2.46%,1.87%,-0.72%,1.54%
3/1/1993,451.670013,7," 120,257.00 ",76.6809," 1,056.00 ",2.97,-0.96,-0.97%,0.52%,-8.01%,-2.54%,-0.33%,-0.25%
4/1/1993,440.190002,7.1," 122,925.00 ",77.0928," 1,104.00 ",3.04,-0.95,2.22%,0.54%,4.55%,2.27%,2.35%,1.80%
5/1/1993,450.190002,7.1," 123,748.00 ",77.1664," 1,112.00 ",3.01,-0.79,0.67%,0.10%,0.72%,0.08%,-0.46%,2.97%
6/1/1993,450.529999,7," 123,493.00 ",76.416," 1,130.00 ",2.82,-0.71,-0.21%,-0.97%,1.62%,-0.53%,2.89%,1.86%
7/1/1993,448.130005,6.9," 125,093.00 ",76.2875," 1,174.00 ",2.7,-0.8,1.30%,-0.17%,3.89%,3.44%,2.41%,4.40%
8/1/1993,463.559998,6.8," 124,787.00 ",75.5001," 1,230.00 ",2.59,-0.92,-0.24%,-1.03%,4.77%,-1.00%,0.92%,-0.38%
9/1/1993,458.929993,6.7," 125,379.00 ",77.0355," 1,251.00 ",2.35,-0.91,0.47%,2.03%,1.71%,1.94%,0.62%,1.64%
10/1/1993,467.829987,6.8," 125,625.00 ",78.9783," 1,287.00 ",2.24,-0.8,0.20%,2.52%,2.88%,-1.29%,-0.29%,2.95%
11/1/1993,461.790009,6.6," 126,538.00 ",79.6936," 1,357.00 ",2.54,-0.49,0.73%,0.91%,5.44%,1.01%,4.29%,1.16%
12/1/1993,466.450012,6.5," 127,368.00 ",80.0423," 1,461.00 ",2.64,-0.28,0.66%,0.44%,7.66%,3.25%,0.15%,-4.43%
1/1/1994,481.609985,6.6," 126,540.00 ",81.2603," 1,390.00 ",2.71,-0.16,-0.65%,1.52%,-4.86%,-3.00%,-7.44%,-6.37%
2/1/1994,467.140015,6.6," 128,205.00 ",81.1562," 1,269.00 ",2.64,-0.09,1.32%,-0.13%,-8.71%,-4.57%,-3.47%,-2.28%
3/1/1994,445.769989,6.5," 130,243.00 ",81.9091," 1,342.00 ",2.89,-0.06,1.59%,0.93%,5.75%,1.15%,2.41%,-0.34%
4/1/1994,450.910004,6.4," 130,185.00 ",82.9134," 1,392.00 ",3.19,-0.11,-0.04%,1.23%,3.73%,1.24%,-1.47%,1.63%
5/1/1994,456.5,6.1," 129,451.00 ",83.1863," 1,396.00 ",2.91,-0.24,-0.56%,0.33%,0.29%,-2.68%,0.39%,4.16%
6/1/1994,444.269989,6.1," 130,626.00 ",83.9037," 1,357.00 ",2.85,-0.3,0.91%,0.86%,-2.79%,3.15%,7.03%,4.15%
7/1/1994,458.26001,6.1," 130,568.00 ",84.025," 1,335.00 ",2.84,-0.31,-0.04%,0.14%,-1.62%,3.76%,0.97%,3.07%
8/1/1994,475.48999,6," 131,649.00 ",85.4608," 1,377.00 ",2.63,-0.23,0.83%,1.71%,3.15%,-2.69%,-0.66%,-4.58%
9/1/1994,462.709991,5.9," 132,454.00 ",85.7842," 1,412.00 ",2.71,-0.07,0.61%,0.38%,2.54%,2.08%,-1.95%,-0.74%
10/1/1994,472.350006,5.8," 133,587.00 ",86.871," 1,397.00 ",2.64,0.17,0.86%,1.27%,-1.06%,-3.95%,-2.77%,-0.41%
11/1/1994,453.690002,5.6," 133,326.00 ",86.7399," 1,340.00 ",2.51,0.3,-0.20%,-0.15%,-4.08%,1.23%,3.69%,7.43%
12/1/1994,459.269989,5.5," 133,691.00 ",87.5612," 1,396.00 ",2.05,0.37,0.27%,0.95%,4.18%,2.43%,6.12%,9.02%
1/1/1995,470.420013,5.6," 133,942.00 ",87.968," 1,282.00 ",1.88,0.32,0.19%,0.46%,-8.17%,3.61%,6.44%,9.41%
2/1/1995,487.390015,5.4," 131,467.00 ",87.498," 1,254.00 ",1.53,0.23,-1.85%,-0.53%,-2.18%,2.73%,5.61%,9.44%
3/1/1995,500.709991,5.4," 132,427.00 ",87.3009," 1,226.00 ",1.29,0.16,0.73%,-0.23%,-2.23%,2.80%,6.53%,8.80%
4/1/1995,514.710022,5.8," 132,443.00 ",87.1333," 1,259.00 ",1.22,0.09,0.01%,-0.19%,2.69%,3.63%,5.84%,9.20%
5/1/1995,533.400024,5.6," 133,460.00 ",86.343," 1,271.00 ",0.78,0.02,0.77%,-0.91%,0.95%,2.13%,5.37%,5.34%
