Date,spx,vix,civ_unemployment_rate,real_retail_and_services,industrial_production_consumer_goods,new_housing,yield_spread,national_fin_conditions,ConfidenceIndex,,,,,
1/1/2004,1108.47998,18.22,5.7,165982,124.1273,1952,3.25,-0.16,111.31272,,,,,
2/1/2004,1135.26001,17.11,5.6,166806,123.876,1966,3.14,-0.33,111.07936,0.50%,-0.20%,0.72%,-0.21%,
3/1/2004,1155.969971,14.44,5.8,169393,122.7748,2066,2.88,-0.43,111.31272,1.55%,-0.89%,5.09%,0.21%,
4/1/2004,1132.170044,16.65,5.6,167306,122.8636,2070,3.39,-0.37,110.846,-1.23%,0.07%,0.19%,-0.42%,-0.14%
5/1/2004,1117.48999,16.62,5.6,169480,121.9492,2150,3.68,-0.18,108.04568,1.30%,-0.74%,3.86%,-2.53%,-0.91%
6/1/2004,1121.199951,16.3,5.6,166740,119.1667,2020,3.44,-0.1,105.12868,-1.62%,-2.28%,-6.05%,-2.70%,-1.88%
7/1/2004,1128.939941,15.2,5.5,168446,119.6933,2112,3.14,-0.09,106.29548,1.02%,0.44%,4.55%,1.11%,-1.37%
8/1/2004,1106.619995,15.37,5.4,168576,120.7165,2056,2.78,-0.1,105.94544,0.08%,0.85%,-2.65%,-0.33%,-0.64%
9/1/2004,1105.910034,14.91,5.4,171026,119.9498,2041,2.45,-0.08,106.52884,1.45%,-0.64%,-0.73%,0.55%,0.44%
10/1/2004,1131.5,12.75,5.5,171216,122.5621,2097,2.31,-0.03,107.11224,0.11%,2.18%,2.74%,0.55%,0.26%
11/1/2004,1130.51001,16.27,5.4,171016,120.8686,2079,2.08,0.03,108.16236,-0.12%,-1.38%,-0.86%,0.98%,0.69%
12/1/2004,1191.369995,12.97,5.4,173123,121.9504,2082,2.01,0.02,108.74576,1.23%,0.90%,0.14%,0.54%,0.69%
1/1/2005,1202.079956,14.08,5.3,171689,121.0236,2139,1.85,-0.01,109.0958,-0.83%,-0.76%,2.74%,0.32%,0.61%
2/1/2005,1189.410034,12.03,5.4,173067,123.7706,2114,1.59,-0.03,109.56252,0.80%,2.27%,-1.17%,0.43%,0.43%
3/1/2005,1210.410034,12.04,5.2,172601,121.377,2062,1.7,-0.04,110.14592,-0.27%,-1.93%,-2.46%,0.53%,0.43%
4/1/2005,1172.920044,14.09,5.2,173982,120.2312,2150,1.5,-0.02,110.49596,0.80%,-0.94%,4.27%,0.32%,0.43%
5/1/2005,1162.160034,15.12,5.1,172755,120.3557,2085,1.24,0.07,110.02924,-0.71%,0.10%,-3.02%,-0.42%,0.14%
6/1/2005,1202.219971,12.36,5,177571,121.0583,2178,0.96,0.18,110.37928,2.79%,0.58%,4.46%,0.32%,0.07%
7/1/2005,1194.439941,11.4,5,177881,118.6478,2203,0.89,0.27,110.14592,0.17%,-1.99%,1.15%,-0.21%,-0.11%
8/1/2005,1235.349976,12.08,4.9,174967,122.1345,2219,0.74,0.29,110.2626,-1.64%,2.94%,0.73%,0.11%,0.07%
9/1/2005,1221.589966,13.15,5,172854,124.7287,2263,0.71,0.23,110.02924,-1.21%,2.12%,1.98%,-0.21%,-0.11%
10/1/2005,1226.699951,12.46,5,172938,125.9185,2170,0.67,0.06,109.32916,0.05%,0.95%,-4.11%,-0.64%,-0.25%
11/1/2005,1202.76001,14.85,5,175285,124.1806,2218,0.57,-0.12,109.21248,1.36%,-1.38%,2.21%,-0.11%,-0.32%
12/1/2005,1264.670044,11.24,4.9,175430,122.9029,2120,0.5,-0.2,110.02924,0.08%,-1.03%,-4.42%,0.75%,0.00%
1/1/2006,1268.800049,11.14,4.7,179308,124.4127,2212,0.08,-0.14,110.2626,2.21%,1.23%,4.34%,0.21%,0.28%
2/1/2006,1282.459961,12.36,4.8,177901,122.2128,2141,0.03,-0.11,109.21248,-0.78%,-1.77%,-3.21%,-0.95%,0.00%
3/1/2006,1291.23999,11.54,4.7,178180,123.2426,2118,0.09,-0.19,109.91256,0.16%,0.84%,-1.07%,0.64%,-0.03%
4/1/2006,1297.810059,11.57,4.7,178177,123.1642,1998,0.27,-0.3,109.44584,0.00%,-0.06%,-5.67%,-0.42%,-0.25%
5/1/2006,1305.189941,12.54,4.6,177111,122.2195,1905,0.27,-0.33,109.44584,-0.60%,-0.77%,-4.65%,0.00%,0.07%
6/1/2006,1285.709961,14.52,4.6,177281,123.0943,1867,0.19,-0.33,109.79588,0.10%,0.72%,-1.99%,0.32%,-0.03%
7/1/2006,1280.189941,13.05,4.7,176977,118.6596,1763,0.01,-0.26,109.6792,-0.17%,-3.60%,-5.57%,-0.11%,0.07%
8/1/2006,1270.920044,15.05,4.7,176896,122.0442,1722,-0.21,-0.23,110.215928,-0.05%,2.85%,-2.33%,0.49%,0.23%
9/1/2006,1311.01001,11.96,4.5,176875,119.8951,1655,-0.21,-0.24,111.686096,-0.01%,-1.76%,-3.89%,1.33%,0.57%
10/1/2006,1331.319946,12.57,4.4,177513,118.27,1570,-0.32,-0.22,111.569416,0.36%,-1.36%,-5.14%,-0.10%,0.57%
11/1/2006,1367.810059,11.51,4.5,177826,118.9241,1535,-0.47,-0.18,112.036136,0.18%,0.55%,-2.23%,0.42%,0.55%
12/1/2006,1396.709961,11.66,4.4,179355,121.6744,1638,-0.41,-0.15,113.109592,0.86%,2.31%,6.71%,0.96%,0.42%
1/1/2007,1416.599976,12.04,4.6,178689,118.5378,1626,-0.35,-0.07,112.36284,-0.37%,-2.58%,-0.73%,-0.66%,0.24%
